,survey,item
1241,ESS10,"Partner's highest level of education, Finland"
1242,ESS10,Online/mobile communication makes work and personal life interrupt each other
1243,ESS10,Respondent's identification number
1244,ESS10,"Party voted for in last national election, Slovakia"
1245,ESS10,"Highest level of education, Bulgaria"
1246,ESS10,Doing last 7 days: permanently sick or disabled
1247,ESS10,"First ancestry, European Standard Classification of Cultural and Ethnic Groups"
1248,ESS10,"Father's highest level of education, Bulgaria"
1249,ESS10,Proportion of colleagues based at the same location
1250,ESS10,Important for democracy: government sticks to policies regardless of what most people think
1251,ESS10,Respondent's experience of technical problems: starting video call
1252,ESS10,Discrimination of respondent's group: colour or race
1253,ESS10,Father's highest level of education
1254,ESS10,How close to party
1255,ESS10,"Job prevents you from giving time to partner/family, how often"
1256,ESS10,Country needs most loyalty towards its leaders
1257,ESS10,"Partner's highest level of education, Czechia"
1258,ESS10,Main activity last 7 days
1259,ESS10,Respondent's experience of technical problems: refusal
1260,ESS10,Any period of unemployment and work seeking lasted 12 months or more
1261,ESS10,"Religion or denomination belonging to in the past, Lithuania"
1262,ESS10,Partner doing last 7 days: permanently sick or disabled
1263,ESS10,Political system allows people to have influence on politics
1264,ESS10,"Interview conducted, how"
1265,ESS10,Important to follow traditions and customs
1266,ESS10,"Mother's highest level of education, Bulgaria"
1267,ESS10,How worried about climate change
1268,ESS10,Doing last 7 days: no answer
1269,ESS10,Using correct version of showcard
1270,ESS10,Discrimination of respondent's group: nationality
1271,ESS10,Things happened since start of COVID-19: was furloughed
1272,ESS10,How happy are you
1273,ESS10,Gender of ninth person in household
1274,ESS10,"How important things are for democracy, order D"
1275,ESS10,"Employees expected to work overtime, how often"
1276,ESS10,Important to help people and care for others well-being
1277,ESS10,"Partner's highest level of education, Estonia"
1278,ESS10,Online/mobile communication undermines personal privacy
1279,ESS10,In country government changes policies in response to what most people think
1280,ESS10,"Imagine large numbers of people limit energy use, how likely reduce climate change"
1281,ESS10,"Ever lived with a partner, without being married"
1282,ESS10,Years of full-time education completed
1283,ESS10,Partner doing last 7 days: not applicable
1284,ESS10,Fourth person in household: relationship to respondent
1285,ESS10,"Which party feel closer to, Czechia"
1286,ESS10,"Speak with child aged 12 or over in person, how often compared with before COVID-19"
1287,ESS10,Important to be loyal to friends and devote to people close
1288,ESS10,"Online/mobile communication with people you work with, how often compared with before COVID-19"
1289,ESS10,"Religion or denomination belonging to at present, Hungary"
1290,ESS10,State of health services in country nowadays
1291,ESS10,Signed petition last 12 months
1292,ESS10,"Religion or denomination belonging to at present, Slovakia"
1293,ESS10,Tenth person in household: relationship to respondent
1294,ESS10,How many people with whom you can discuss intimate and personal matters
1295,ESS10,"Age of respondent, calculated"
1296,ESS10,"Work from home or place of choice, how often"
1297,ESS10,Gender of eighth person in household
1298,ESS10,"How important things are for democracy, order A"
1299,ESS10,"Important to be humble and modest, not draw attention"
1300,ESS10,Total contracted hours per week in main job overtime excluded
1301,ESS10,How often pray apart from at religious services
1302,ESS10,Year of birth of ninth person in household
1303,ESS10,Title of dataset
1304,ESS10,Employment relation
1305,ESS10,Things happened since start of COVID-19: not applicable
1306,ESS10,Administration of reduce climate change
1307,ESS10,Partner doing last 7 days: don't know
1308,ESS10,Important to try new and different things in life
1309,ESS10,"Which party feel closer to, Hungary"
1310,ESS10,Doing last 7 days: refusal
